Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
FEVES DE SOJA 1KG METRO CHEF,866683,1,275792,"DEEP_FROZEN-43-14-B1-4,DEEP_FROZEN-43-7-B1-4,DEEP_FROZEN-40-5-B1-3,DEEP_FROZEN-40-9-A1-3",921,921,846,846,41,41,34,34
FUT PLEIN ST OMER 20L,180719,1,null,null,35,35,0,0,0,0,35,35
ROCHE DES ECRINS 1.5L PET,397388,1,202397,"MEAT_SPECIAL_HANDLING-1-29-C1-1,MEAT_SPECIAL_HANDLING-3-10-A1-1",193,1158,186,1116,1,6,6,36
LAIT CONC SUCRE 397G NESTLE,173441,1,176737,MEAT_SPECIAL_HANDLING-11-5-A2-5,6,72,3,36,0,0,3,36
VINAIGRE BLANC 8° - 1L ARO,892812,1,304655,"MEAT_SPECIAL_HANDLING-8-30-C1-3,MEAT_SPECIAL_HANDLING-6-7-C1-3,MEAT_SPECIAL_HANDLING-6-30-A1-3",53,636,46,552,4,48,3,36
EAU OGEU GAZ VP 75CL,834434,1,null,null,36,36,0,0,0,0,36,36
SCHWEPPES GINGER BEER PET 1L,882000,1,292231,MEAT_SPECIAL_HANDLING-4-10-A2-1,10,60,4,24,0,0,6,36
9903.EVIAN-BAD.12L.STUB   VIDE,226876,1,null,null,37,37,0,0,0,0,37,37
CAISSE COCA    24X33CL PLEIN,226662,1,null,null,40,40,0,0,0,0,40,40
01 CONSIGNE DEMI-PALETTE EUROPE,892476,1,null,null,40,40,0,0,0,0,40,40
MPRO FILM ALIMENTA 300MX44CM,337797,1,82332,"MEAT_SPECIAL_HANDLING-6-27-A1-1,INSPECTION-3",230,230,188,188,2,2,40,40
CAIS.SANPELLEGR 12X100CL PLEIN,226690,1,null,null,41,41,0,0,0,0,41,41
FUT PLEIN FELSGOLD 30L,180717,1,null,null,43,43,0,0,0,0,43,43
CAIS.PERSON.   24X33CL   PLEIN,226661,1,null,null,43,43,0,0,0,0,43,43
FUT VIDE FELSGOLD 30L,180716,1,null,null,47,47,0,0,0,0,47,47
CARAIBOS TROPICAL BOITE 33CL,824807,1,232733,MEAT_SPECIAL_HANDLING-5-27-A2-2,9,216,7,168,0,0,2,48
PRINGLES CREME OIGNON    40G,839605,1,247052,MEAT_SPECIAL_HANDLING-12-6-A2-4,7,84,3,36,0,0,4,48
GAUFRES DE LIEGE 90G,896239,1,308331,DEEP_FROZEN-43-1-A3-3,18,216,14,168,0,0,4,48
